,Tags,Name,Score,Rank
0,2PQGVRU9,襲撃のダイナマイト,64181,1
1,2LVRQ29,Midwinter™,63988,2
2,PPCLCJG9,AK Syndicate,63584,3
3,PRGCGGP0,Shark clan,63568,4
4,YVPQV8V,CSL1,62904,5
5,8UJULRQG,ASSASSINESSの会,62453,6
6,8VG2C9CJ,Nova FrenchArmy,62269,7
7,PJYCYJPG,☢Toxic Silent☢,62105,8
8,P8JLV8JL,Clash2IT,61951,9
9,PGLQ0VQ,Lost Orbit,61896,10
10,Y8LCJJQU,sa.arabic,61836,11
11,PYGQQC2P,Divine Saga,61754,12
12,2LRU2J,Crucible Wrath,61683,13
13,99Y9PJUY,La Team PLS,61659,14
14,YCQCRQPU,EMPIRE T15,61646,15
15,9JCLGG9G,SHURIKEN ✫,61586,16
16,PGPV0GG,잎새,61460,17
17,8VCVPC28,StarAlliance JP,61369,18
18,2CRP0URJ,OsDeSorte,61365,19
19,PQQJC889,狂爆電車俱樂部,61281,20
20,CQVV2PJ,Hakuna Matata,61223,21
21,YPUG8PP,アトミックボム,61218,22
22,PLYJ0UL9,AREA 51.,61217,23
23,9Y8YVJYP,provocatione™,61209,24
24,8G9VY92,上海 OP Elite,61186,25
25,2LUJ09CC,GRAND CROWN,61179,26
26,2PQR0U,I MIRMIDONI,61165,27
27,8Q8R9LQ0,Boréal ★ MG,61146,28
28,2YCU22JQ,*/DinoRampage/*,61087,29
29,2CQQVQCU,Nova l Hispania,61081,30
30,82CP0UVP,LEB SQUAD,61045,31
31,L2CLC9VP,ReFly,61027,32
32,82UV9LV,Ad Vitam,61017,33
33,PLYVU2G,Nova l Germany,61005,34
34,8JJJPUPV,Ad Finem,60984,35
35,2V0QU2QC,Parabellum,60908,36
36,9JJRCUUY,PDF Origins,60894,37
37,Y0YCV0YP,NoL Legend,60870,38
38,9U2G2C8L,New World Order,60836,39
39,YY22Q2CR,Avis bpo sg 88,60831,40
40,8RU0JYQ8,ارتش امام زمان,60826,41
41,P00R0GQQ,INFINITY GAMING,60812,42
42,8YVV9YUR,Veterans Élite™,60787,43
43,L09LP,German-Stars,60773,44
44,20JJCCG,あかずきんのいえ,60755,45
45,90R02YY9,NOVA RAYO ROYAL,60749,46
46,YYL2GJUC,女神的世界,60742,47
47,9RC08U9G,The Shadows™,60724,48
48,P8G2JQ0R,Royal Imperial,60719,49
49,YPULPQRQ,PERU GODS,60692,50
50,8PGYVGYU,Khaos eSports,60620,51
51,9YGJC8LU,Zion FireSkull,60605,52
52,2RYG90QL,Tactical Tilt,60525,53
53,UYPU9,乃木坂46(仮),60477,54
54,YJ8LQV22,飞雪连天射白鹿,60476,55
55,PPRYY2RC,Aeon Esports,60465,56
56,Q8YRPV,Persian.gulf,60452,57
57,9800PPPG,Ðimension X,60450,58
58,YP8VRRUV,Circumpolarstar,60441,59
59,2YG28L9R,EpicShockZz ❤,60426,60
60,9QU9298C,La Resistencia,60423,61
61,9PJ82CRC,RoyaleAPI Alpha,60412,62
62,8YLJ8UL2,Nova I EG,60366,63
63,9Q00GCVR,0es3,60341,64
64,P8RCUUL2,Ad Astra,60315,65
65,Y8GLLUQ,硬中华,60294,66
66,YGC8C2PY,Quantum North,60294,67
67,PQUC20,Dutch Corps,60289,68
68,9QGQQGPU,疯人院,60280,69
69,VQCP8J2,Iran Union,60277,70
70,L0QPV,UNAUFHALTSAM,60276,71
71,8GQGUJ,Undefined,60255,72
72,89JQ02Q9,Elite Phaze,60222,73
73,P9GRQ89P,Clanpeyo,60217,74
74,89UJ8J2J,RoyalFlush™,60208,75
75,2L0VV9J8,بزرگان ایران,60205,76
76,9QY9JG09,QLASH Sentry,60162,77
77,9RP0LL0Q,nova Jrs.⚒⚡️,60155,78
78,PQ0JQ890,FFR-Tidus,60128,79
79,YU2RQG9,PandaScheme,60128,80
80,9VQJ0YUJ,バエルのもとへ集え,60108,81
81,P0PYC2UR,Sandstorm GER™,60096,82
82,2C0LVR9P,Pivots Family,60090,83
83,VQ9CGR0,Caju Royale,60087,84
84,YQVJ9L,Die Tafelrunde,60050,85
85,RRQ2UCY,Rocket Pong #1,60040,86
86,Y9JQVJL,Jimx Soldiers,60030,87
87,P02RPQLU,Red Bull Brasil,60013,88
88,98RJUQJQ,EgamerLatamES,59942,89
89,9VQJPL2L,AK Syndicate 2,59930,90
90,9J9VULLP,虎牙、暮日苍穹的传奇小屋,59910,91
91,80UVUP22,Danger eSports,59903,92
92,P9VLJRRR,Biggi's Bande,59880,93
93,9J2808R2,∽Sword Dance∽,59875,94
94,P2YJ0QC0,Nova EG Orion,59870,95
95,8VVJ8RG8,One eSports,59841,96
96,PCYJC2U9,Retraite Forcée,59838,97
97,9GP8C2Y0,EgY DeALeRs,59823,98
98,90R9VPP9,North Rebellion,59806,99
99,29YU089C,Twitch SirTagCR,59800,100
100,90U8CQCC,コキュートス戦線,59798,101
101,8LQ2P0RL,龍溪CR,59774,102
102,9VY8CJPQ,SK Germany,59769,103
103,8R2RUGUQ,YellowCard,59730,104
104,8P20908J,Clashilaquiles,59720,105
105,P0VJYYVU,I PEKKA TORI,59720,106
106,8QVQ2CGV,Re:Start,59698,107
107,9LP9VCJ8,Outcasts™️,59695,108
108,LU0RQP8,トレジャーハンター,59693,109
109,8C88C2,Кузькина Мать,59682,110
110,PGYPLLGJ,Ranked #1,59664,111
